id,smiles,compound_class,compound_subclass,name,molecular_weight,formula,cas_number,created_at,updated_at,MolLogP,qed,ExactMolWt,fr_phenol,fr_methoxy,fr_lactone,fr_urea
3,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(=O)\C=C\C3=CC=C(O)C=C3)C(O)C(O)C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Malvidin 3-O-(6''-p-coumaroyl-glucoside),639.58,C32H31O14,,2005-09-07 11:07:11 UTC,2015-05-10 23:28:36 UTC,2.6635000000000018,0.07964258964951886,639.1708320920899,4,2,0,0
5,CC(=O)OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-acetyl-galactoside),507.421,C23H23O13,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:36 UTC,0.6583999999999999,0.13532440179223246,507.11331721608985,5,0,0,0
6,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-acetyl-galactoside),491.42199999999997,C23H23O12,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:36 UTC,0.9527999999999994,0.15174690673060953,491.1184025960899,4,0,0,0
8,OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-galactoside,449.385,C21H21O11,,2002-08-22 11:51:47 UTC,2015-05-10 23:28:36 UTC,0.3820000000000002,0.20283135255149415,449.1078379120899,4,0,0,0
9,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-glucoside,449.385,C21H21O11,7084-24-4,2002-09-20 16:19:06 UTC,2015-05-10 23:28:36 UTC,0.3820000000000002,0.20283135255149415,449.1078379120899,4,0,0,0
10,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-rutinoside,595.526,C27H31O15,,2002-09-20 16:19:39 UTC,2015-05-10 23:28:36 UTC,-0.7662,0.12411596179132374,595.1657467120899,4,0,0,0
11,OC[C@H]1O[C@@H](O[C@H]2[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-sophoroside,611.525,C27H31O16,,2002-09-20 16:20:08 UTC,2015-05-10 23:28:36 UTC,-1.7938000000000014,0.10393051404737122,611.1606613320898,4,0,0,0
12,OC[C@@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-glucoside,433.385,C21H21O10,18466-51-8,2002-09-20 16:20:38 UTC,2015-05-10 23:28:36 UTC,0.6763999999999999,0.29015482062402764,433.11292329208993,3,0,0,0
13,O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-malonyl-glucoside),535.431,C24H23O14,,2004-04-14 14:20:32 UTC,2015-05-10 23:28:36 UTC,0.4075999999999987,0.08854545646164108,535.1082318360899,4,0,0,0
14,COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O,Flavonoids,Anthocyanins,Peonidin,301.27099999999996,C16H13O6,134-01-0,2004-08-30 00:00:00 UTC,2015-05-10 23:28:36 UTC,3.2119000000000004,0.5421255947244865,301.07066455609,3,1,0,0
