CAS_Number,logS,ID,CA_Number
60-35-5,1.58,CC(N)=O,
,1.34,CNN,60-34-4
,1.22,CC(O)=O,64-19-7
,1.15,C1CCCN1,123-75-1
,1.12,NC([NH]O)=O,127-07-1
,1.12,OC(CO)CO,56-81-5
,1.11,CC(N(C)C)=O,127-19-5
,1.1,c1cccnn1,289-80-5
,1.1,c1ccncn1,289-95-2
,1.09,OC(CO)C(O)C(O)C(O)CO,50-70-4
,1.08,CC(N)CC(O)=O,541-48-0
,1.07,C1CNCCN1,110-85-0
,1.07,C1CCCCN1,110-89-4
,1.02,Oc1ccncc1,626-64-2
,1.02,Oc1ncccc1,72762-00-6
,1,OC(CCCC(O)=O)=O,110-94-1
,1,CN1CCOCC1,109-02-4
,0.97,NC(OC)=O,598-55-0
,0.96,O=C(C=CC=C1)N1C,694-85-9
,0.93,OC(CCl)=O,79-11-8
,0.85,NC(OCC)=O,51-79-6
,0.81,O=C(C1=CCCN(C)C1)OC,63-75-2
,0.81,Oc1cc(O)ccc1,108-46-3
,0.76,c1cnccc1,110-86-1
,0.74,CC1CNCCN1,109-07-9
,0.64,O1CC(O)C(O)C(O)C1(O)CO,@57-48-7
,0.62,Oc1c(O)cccc1,120-80-9
,0.61,NC(c1cccnc1)=O,98-92-0
,0.59,O=C1NC=NC=C1,51953-17-4
,0.58,CCC=O,123-38-6
,0.58,C(OC)=O,107-31-3
,0.57,C=CC=O,107-02-8
,0.56,C1CCOC1,109-99-9
,0.52,CC(CC)=O,78-93-3
,0.49,CC1NCC(C)NC1,106-55-8
,0.48,COCOC,109-87-5
,0.45,Cc1nc(C)ccc1,108-48-5
,0.4,Cc1ccc(C)nc1,589-93-5
,0.39,OC1COC(O)C(O)C1O,87-72-9
,0.38,Cc1cc(C)ncc1,108-47-4
,0.38,Cc(cccn1)c1C,583-61-9
,0.36,O=C1N(CC3CNCC2C3)C2=CC=C1,485-35-8
,0.35,OC1C(O)C(O)C(O)C(O)C1O,643-12-9
,0.32,CC=CC=O,4170-30-3
,0.31,CCC(C(O)=O)N,80-60-4
,0.3,O=C(CC1)NC1=O,123-56-8
,0.28,CC(C)C(O)=O,79-31-2
,0.23,CN1CCCCC1,626-67-5
,0.22,CC(CC(C)=O)=O,123-54-6
,0.15,C(OCC)=O,109-94-4
,0.15,C=CC#N,107-13-1
,0.11,CC1CCCO1,96-47-9
,0.1,CC(C)(C)OC(N)=O,4248-19-5
,0.08,CCC(C)(O)C,75-85-4
,0.07,NNc1ccccc1,100-63-0
,0.04,CC(C)CO,78-83-1
,0.04,O=S(CC)(CC)=O,597-35-3
,0.02,c12nccnc1ncnc2,91-18-9
,0.01,O=C(c1ccncc1)NN,54-85-3
,0,Oc1ccccc1,108-95-2
,-0.01,CCCC=O,123-72-8
,-0.02,CN1C2CCC1C(C(O)=O)C(O)C2,481-37-8
,-0.03,C1CCOCC1,142-68-7
,-0.06,CCC1NC(=O)NC1(=O),15414-82-1
,-0.07,Cc1cc(O)no1,10004-44-1
,-0.09,NC(C(O)=O)C(O)C,72-19-5
,-0.09,CCOCC,60-29-7
,-0.1,C(c1ccco1)=O,98-01-1
,-0.12,Cc1nc(nccn2)c2cn1,2432-20-4
,-0.13,NC(C(O)=O)C(C)(S)C,52-67-5
,-0.14,CCN(CC)CC,121-44-8
,-0.17,c1ccc[nH]1,109-97-7
,-0.17,OC1C(O)C(O)CC(O)C1O,488-73-3
,-0.17,OC(CO)Cn(cn1)c(C(N2C)=O)c1N(C2=O)C,479-18-5
,-0.17,O=NN1CCCCC1,100-75-4
,-0.19,CC(CCC)=O,107-87-9
,-0.19,OC(CCC)=O,107-92-6
,-0.2,CN(NC(CCC(O)=O)=O)C,1596-84-5
,-0.2,OC(CCC(O)=O)=O,110-15-6
,-0.2,CC(C)C(O)C,598-75-4
,-0.22,O=C(OC)C=C,96-33-3
,-0.24,CCC(O)CC,584-02-1
,-0.27,O=C(C(C2OC1CC2)C1C(O)=O)O,145-73-3
,-0.29,CC(O)CCC,6032-29-7
,-0.29,OC(=O)CC(C)(C(=O)O)C(C)(C)C(=O)O,2385-74-2
,-0.29,ClCCC#N,542-76-7
,-0.29,Oc1c(CO)cccc1,90-01-7
,-0.3,NC(OCC(C)C)=O,2114-15-0
,-0.31,NC(=NC(#N))N,461-58-5
,-0.38,CC(CC)(O)CC,77-74-7
,-0.38,Nc1ccc(N)cc1,106-50-3
,-0.39,COCCC,557-17-5
,-0.39,OCC(C)C(C)C,19550-30-2
,-0.4,OCc1ccccc1,100-51-6
,-0.42,OC(C(N)CCSC)=O,63-68-3
,-0.42,Nc(cccc1)c1N,95-54-5
,-0.42,OC(C(C)NC)c1ccccc1,299-42-3
,-0.44,OC1CCCCC1,108-93-0
,-0.45,CC(CC1CCCCN1)=O,4396-01-4
,-0.46,Oc1cccnc1,109-00-2
,-0.46,O=C(c1cccnc1)OC,93-60-7
,-0.47,Cc1ncnc2c1nccn2,2432-21-5
,-0.48,,7568-93-6
,-0.48,,51-34-3
,-0.49,O=COCCC,110-74-7
,-0.5,NCCC(C(NC2CC(C(C(C2OC3OC(C(C(C3O)N)O)CO)O)OC1OC(C(C(C1O)O)O)CN)N)=O)O,37517-28-5
,-0.5,OCCC(C)(C)C,624-95-3
,-0.53,n1c(c[nH]c1)CC(N)C(O)=O,71-00-1
,-0.54,CCCC(O)C(CC)CO,94-96-2
,-0.55,OC(C(N)CCC(N)=O)=O,56-85-9
,-0.59,CC1CO1,75-56-9
,-0.6,O=C1CCCCC1,108-94-1
,-0.6,CC(OCC(OC(C)=O)COC(C)=O)=O,102-76-1
,-0.62,CC(C)(C)C(O)C,464-07-3
,-0.63,,58-15-1
,-0.63,C(Cl)(Cl),75-09-2
